,text,label
 support for extended json in the agg pipeline builder

 requiring users to select what their input type is in both areas as a precursor to custom language modes",0

13,we have to use the moving average round trip time for server selection with this formulaalpha    alpha  x    alpha  oldrttright now we are only using the last rtt,0

14,we should update powermock to the latest available version which is currently ,1

15,"bump  to 

list of fixes for the rabbitmq client ",1

16,"metric reporters can currently be instantiated in one of  ways
a the reporter class is loaded via reflection
b the reporter factory is loaded via reflectionserviceloader aka plugins

all reporters provided by flink use the factory approach and it is preferable because it supports plugins the plugin approach also has been available  and i think its fair to remove the old approach by now",1

17,"to the best of my knowledge the syncbackground configuration for logflush has never been used in practice it was originallly asked for as part of logflush for mongodb but mongodb has only ever used syncon

there is a lot of code to support this particular sync method if it is not needed we should remove it and simplify some code testing apis etc",1

18,error uppears rarelynoformatuncaught error assertion failed unable to find fixtures for model type appalertdefinitionparameternoformat,0

19,currently hivepartition readerhiveinputformatpartitionreader still use legacy interface inputformat we can migrate it to new interface bulkformat,1

20,"this plugin will allow users to specify js dependencies and they will be pulled in the maven way

groupid comgithubcameroncan
project url 
scm url 
nexus username noremac
already sync to central yes",0

21,"in reviewing   noticed that there is overlap in parsing the configuration lines for backup information

cursorcurbackupincrccurbackupincrblkmod and metametackptcckptloadblkmods have very similar parsing code paths

these two functions have subtle differences they compare against different strings and they fill in different data structures a review of these function should be done to figure out a way to factor that out into one function ",1

22,"currently an intermediatedataset can have multiple consumer jobedge thats why the consumers of an intermediateresultpartition is in the form of list

however in schedulerexecutiongraph there is assumption that one intermediateresultpartition can be consumed by one only executionjobvertex this results in a lot of hack logics which assumes partition consumers to contain a single list

given that there is no plan yet to support multiple consumer jobedge of one intermediatedataset i propose to refactor intermediatedataset to have one only consumer jobedge thus the scheduler can get rid of these hack logics ",1

23,noformatnopaneltruesvnmucc uses the subversionprivate apis svncmdlineapplyconfigoptionsand svncmdlineparseconfigoption  however as a tools project it shoulduse only public apis where possible cd tools grep include c   grep privateclientsidesvnmuccsvnmucccinclude privatesvncmdlineprivatehdevsvnraisetreeconflictmaincinclude privatesvnwcprivatehdevsvnraisetreeconflictmaincinclude svnprivateconfighserversidesvnrepsharingstatscinclude svnprivateconfighthis could be fixed either by making svnmucc a core binarysubversionsvnmuccsvnmuccc or by promoting those apis to be public whichinvolves more work than just renaming things a constructor forsvncmdlineconfigargumentt would need to be created and perhaps the warninghandling changednoformat,0

24,happens because mongobridge is not passing back connection failures and keeps retrying forever if the target server is down this causes the original call to timeoutthis happens at shutdown time and only on windows when we cannot find the servers shutdown event and backingoff to the old method of connecting and invoking the shutdown  killwrapper openevent failed to open event to the process  it has likely died already or server is running an older version attempting to shutdown through admin command   connection accepted from    connection now   edt	   warning failed to connect to  reason  no connection could be made because the target machine actively refused   edt	   warning failed to connect to  reason  no connection could be made because the target machine actively refused   edt	   warning failed to connect to  reason  no connection could be made because the target machine actively refused   edt	   warning failed to connect to  reason  no connection could be made because the target machine actively refused   edt	   warning failed to connect to  reason  no connection could be made because the target machine actively refused   edt	   warning failed to connect to  reason  no connection could be made because the target machine actively refused   edt	   warning failed to connect to  reason  no connection could be made because the target machine actively refused   edt	   warning failed to connect to  reason  no connection could be made because the target machine actively refused itnoformat,0

25,"these factories are part of the old type systemsink  source stack and should not be used anymore as users should work with dynamictablesinkdynamictablesource factories instead

this task should deprecate tablesinkfactory tablesourcefactory and tableformatfactory and all the related types",1

26,"the tests of the python module rely on a couple of testing classes from the legacy flinktableplanner test jar we should remove references to

code

orgapacheflinktabledescriptorsrowtimetestcustomextractor
orgapacheflinktabledescriptorsrowtimetestcustomassigner
orgapacheflinktablefunctionsaggfunctionsbytemaxaggfunction

orgapacheflinktableruntimestreamtabletestappendsink
orgapacheflinktableruntimestreamtabletestretractsink
orgapacheflinktableruntimestreamtabletestupsertsink
orgapacheflinktableruntimestreamtablerowcollector
testcollectiontablefactory
code

a temporary fix will be provided in ",1

27,"now that the replication bug has been fixed we should try to run these tests

",0

28,"

code
 running orgapacheflinkmetricsinfluxdbinfluxdbreportertest
 tests run  failures  errors  skipped  time elapsed  s  failure  in orgapacheflinkmetricsinfluxdbmeasurementinfoprovidertest
 testnormalizingtagsorgapacheflinkmetricsinfluxdbmeasurementinfoprovidertest  time elapsed  s   error
javalangunsupportedoperationexception unexpected method call
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at  source
	at 
	at 
	at 
	at 
	at  method
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 
	at 

code",1

29,documentation there says it supports ip address  but it does not say anything about  at the source it seems it simply splits the host at the colon   which does not work when using  addresses eg       split up the db    hostpart  connectionpart     parse all server results    servers  hostpartsplitmapfunctionh       var hostport  hsplit       var host  hostport  localhost      var port  hostport  null  parseinthostport          check for localhostsafetrue style case      ifhostindexof   host  hostsplit       return the mapped object      return host host port port    codeshould fix the documentation to explicitly say only  supported or improve the parsing logic to handle ,0

30,setting javasecuritydebugall causes urls to be printed while performing security checks which results in a recursion loop that must fail due to stack memory before continuing which leads to a significant performance loss see ,0

31,clustered indexes change the ondisk format of tables and has additional metadata to store in the durable catalog we must test that nothing breaks with backup and restore,0

32,variablelength column store has been broken for a while and a number of the tests for it were disabled the accompanying changeset makes these tests work again as well as some new ones,1

33,for some reason related to  pymongo has listcollectionnames which is almost but not quite entirely unlike collectionnames add both listcollectionnames and collectionnames to motor,0

34,"usually its a bad practice to make server versions available to public because it can ease malicious attacks

it would be great if we could hide all version information from public

an obvious place where the version is available is in top banner but other places should have the version stripped off as well if there are any like in api calls for example

",0

35,,0

36,"a double on  architectures uses  bit for sign  bits for value and  bits for exponent thus the maximum integer value that it can contain without losing precision is   this is much smaller than llongmax  and the range long long covers

there are instances that we cast llongmax to double and do a comparison  we should ensure the accuracy of such comparisons in presence of values that cause precision issues for double",0

37,"remove wiredtiger raw compression support
  there is no longer any customer use of raw compression
  as of the  release raw compression cannot be used with the lookaside table making it useless for many workloads see 
  the raw compression code is relatively complex and brittle

the changes in  to make compression more adaptive to runtime compression results partly overlaps with raw compression – raw compression maximizes compression results which is less important if standard compression adapts to do better compression however raw compression also allowed targeting fixed io sizes which is potentially useful functionality wed be getting rid of",1

38,output produced notification methods are empty and never being called in gfac ,0

39,we write the newest committed version to the data store in durable history thus the skewnewest flag is no longer required,1

40,"specifically unique truefalse and nobalance truefalse

setup
noformat
 shenableshardingtest
 ok   
  
 collectionsharded   ok   
  
 collectionsharded   ok   
   unique true
 collectionsharded   ok   
   unique true
 collectionsharded   ok   
 
 
noformat

creates collections with quite different properties
noformat
 dbgetsiblingdbconfigcollectionsfind
 id   lastmod   dropped  false key   id    unique  false lastmodepoch   
 id   lastmod   dropped  false key   id    unique  true lastmodepoch   
 id   lastmod   dropped  false key   id    unique  false lastmodepoch   nobalance  true 
 id   lastmod   dropped  false key   id    unique  true lastmodepoch   nobalance  true 
noformat

yet shstatus shows collections that look basically the same
noformat
 shstatus
 sharding status 
  sharding version 
        id  
        mincompatibleversion  
        currentversion  
        clusterid  

  shards
          id    host   
  balancer
        currently enabled  yes
        currently running  no
        failed balancer rounds in last  attempts  
        migration results for the last  hours
                no recent migrations
  databases
          id  admin  primary  config  partitioned  false 
          id  config  primary  config  partitioned  false 
          id  test  primary    partitioned  true 
                
                        shard key  id   
                        chunks
                                 
                         id   minkey       id   maxkey     on    
                
                        shard key  id   
                        chunks
                                 
                         id   minkey       id   maxkey     on    
                
                        shard key  id   
                        chunks
                                 
                         id   minkey       id   maxkey     on    
                
                        shard key  id   
                        chunks
                                 
                         id   minkey       id   maxkey     on    

noformat

desired output is something like
codediff
   databases
           id  admin  primary  config  partitioned  false 
           id  config  primary  config  partitioned  false 
           id  test  primary    partitioned  true 
                 
                         shard key  id   
                         chunks
                                  
                          id   minkey       id   maxkey     on    
                 
                         shard key  id   
                        unique true
                         chunks
                                  
                          id   minkey       id   maxkey     on    
                 
                         shard key  id   
                        balancing false
                         chunks
                                  
                          id   minkey       id   maxkey     on    
                 
                         shard key  id   
                        unique true
                        balancing false
                         chunks
                                  
                          id   minkey       id   maxkey     on    
code",0

41,it would be great to be able to run queries in mongodb compass to effect crud operations as is possible in robobmongo,0

42,we concluded to not use timeouts in tests but certain utility methods still ask for a timeout argument,1

43,the pmc was just informed that it is not allowed to have a powered by section on the main homepage we need to move it into a dedicated page,1

44,codepublic class document    public objectid id  get set public void injectgenericquerybuilder    var doc  collectionasqueryablesingleordefaultx  queryeqy  yid objectidemptyinjectcodethe following exception is thrown when this unit test is runsystemargumentexception  unsupported where clause linqtomongoinjectthis is true for pretty much any inject done using generic query builder note that the nongeneric query builder where field name is specified as magic string works fine,0

45,"after  a fallbackakkarpcsystemloader is provided which should make it possible to run test directly without execute mvn package pl flinkrpcflinkrpcakkaflinkrpcflinkrpcakkaloader in command line but i still meet the exception 

  ",1

46,"following the  with durable history a btree with reconciliation splitting the pages at  performs terribly as compared to before durable history
this ticket will investigate the reasons behind the performance variations and this might help gain a lot of performance back for durable history

the sampled wtperf workload is updateonlybtree",0

47,"we have  but they werent set up for background like their fellows despite the guiding code comment

just need to copy the two code lines and set the second boolean to true worked locally for me",0

48,including dockerbootstrap jdbcdriver and others all in the foundationstack namespace,0

49,drop deprecated beta enpoints,1

50,navigation experiment  create experiment entered all the input fields and attached the files and clicked on continuegives the attached error screen same result when tried it manually or through selenium tool,0

51,the leafitemmax and internalitemmax configuration strings were deprecated in  remove them from the tree,1

52,running the deploytoprod task didnt send a slack message to evergreendeploys during this task execution ,0

53," flink run class iotflinkreadkafkaviaflink 
javalangnoclassdeffounderror orgapachekafkacommonserializationbytearraydeserializer
 at 
 at 
 at 
 at 
 at 
 at 
 at iotflinkreadkafkaviaflinkmainreadkafkaviaflinkscala
 at  method
 at 
 at 
 at 
 at 
 at 
 at 
 at 
 at 
 at 
 at 
 at 
 at 
caused by javalangclassnotfoundexception orgapachekafkacommonserializationbytearraydeserializer
 at 
 at 
 at 
 at 
   more",1

54,"in workgen and the cpp testing framework we define the following macros
noformatdefine stdclimitmacros   needed to get  in c
define stdcformatmacros  needed to get priuxx macros in c noformat
they are required for older gcc versions we should probably define them only if they are not already defined ie
noformatifndef stdclimitmacros
define stdclimitmacros
endif
ifndef stdcformatmacros
define stdcformatmacros
endif noformat
definition of done

check the cpp files compile using awsperf from jenkins",1

55,"allocating a tombstone is currently done with the same function wtupdatealloc that allocates update structures holding values  that means it is possible for callers to request a wtupdatetombstone but also pass in a nonnull value  indeed that led to bugs and was fixed in 

rather than fixing things up inside wtupdatealloc implement a better approach that means it is impossible for calling code to make this mistake",1

56,"the flink presto hadoop dependency  that flink uses is rather outdated released in march  

we should upgrade to the latest released version for  which was released in march ",1

57,a limit passed to explain is forced to be negativecodenlimit  mathabsnlimit   this is not the case with a find limitthis can potentially cause confusion when explain queries do not behave the same as their non explain counterparts,0

58,"or better nx core fires repositoryeventlocalstatuschanged event at wrong moment when the configuration is not yet applied and mac plugin attempts to install the catalog while repository is still out of service configuration change is not committed yet causing log spam such as

quote
jvm        info   admin orgsonatypenexuspluginsmacmacplugineventinspector  unable to install the generated archetype catalog repository releases is out of service
quote

still the mac plugin successfully handles the local status change of the repository as the subsequent event fired when configuration change is committed redoes the work and succeeds",0

59,"codec
collectionfindandmodify
code

will now automatically apply the collections writeconcern when talking to mongodb  servers or later


this may cause slower collectionfindandmodify then previous releases if the collection writeconcern is greater then the server provided default usually 
",0

60,"github repo owner 

githup repo name bsonio

project name bsonio

link to project 

administrators
  myself brian deleonardis
  adinoyi omuya
  andres navarro
  thomas henretty

defaults are fine for the rest",0

61,"currently there is no validation to check destination path length while adding or updating mount entry but while trying to create directory using this mount entry 
noformat
remoteexceptionorgapachehadoophdfsprotocolfslimitexceptionpathcomponenttoolongexceptionnoformat
is thrown with exception message as 
noformat
maximum path component name limit of  directory  is exceeded  
 ",0

62,"at various points in flink we use the serviceloader mechanism to load implementations for example filesystems or reporters
it is thus only natural that we also have some test service implementations which are used in specific tests

however these test implementations are intended to only be used in very specific tests but are currently but on the classpath for all tests in that module all that depend on the testjar of such a module this causes confusion eg suddenly there are  reporter factories available or logging noise eg custom netty handlers being loaded by each minicluster

we should implement a junit extension that runs the test with a customized classloader which also as access to a temporary directory containing generated service entries",1

63,this bug was imported from another system and requires review from a project committer before some of the details can be marked public for more information about historical bugs please read you can request a review of this bug report by sending an email to please be sure to include the bug number in your request,0

64,"flink uses multiple comfasterxmljackson components in different flink modules we should update these to the latest version

example one or more used in elasticsearch connector kinesis fs hadooppresto avro python table api etc
 
 
 
 
 
 

could all be updated to
 
 
 
 
 
 
",1

65,"we added code to debug a set of testformat hangs in 

we believe  fixed the underlying problem at least we havent seen a failure in quite some time

remove the  debugging code",1

66,i would like to publish my artifacts on maven central under the package comwalterjwhite,0

67,running on  with a workload that is lock bound  speed is roughly the same as  but no locking shown in mongostat just ,0

68,"when compiling the module flinkruntimeweb the terminal would be filled with errors as below
codebash
  generating browser application bundles phase setup 
 
 compiling angularcore   as  
 
 compiling angularcommon   as  
 
 compiling angularplatformbrowser   as  
 
 compiling angularplatformbrowserdynamic   as  
 
 compiling angularrouter   as 

code
 
 although it doesnt break the compilation maybe we should fix this

im not familiar with the module flinkruntimeweb or angular i found something that may be useful 









 ",1

69,iuamsolver is the java library for breaking through the cloudflares i am under attack mode,0

70,"coderuby

class post
  include mongoiddocument
  hasandbelongstomany tags
end

class tag
  include mongoiddocument
  hasandbelongstomany posts
end

loading development environment rails 
   t  tagcreate
   
   tpostscreate
   
   t
   
   treload
  

codewhen a new post is created for a tag the posts id gets added to postids twiceusing mongoid  anyone replicate this",0

71,"as i wrote in the comment in this issue  i would like to publish artifacts to the camel extra repository

im camel and camel extra committer

thanks in advance",0

72,"theres a load balancer spec test thats missing hello in failcommand
",0

73,"in  support for duplicate backup cursors was added the code changes in sessionapicsessionopencursor make it too specific with the statjoin and dupbackup booleans at that top level

the original code changes came from ",1

74,"there are some typo issues in these modules

 
codejava
 use the codespell tool to check typo issue
pip install codespell

codespell h
code
 

、 codespell flinkjavasrc
codejava
 partioning  partitioning

 neccessary  necessary
code
 
 、 codespell flinkclients
codejava
 acessible  accessible
code
 

、codespell flinkconnectors s xml s iml s txt

 
codejava
 tht  that

 doenst  doesnt

 postgressql  postgresql

 instanciation  instantiation

 partion  partition

 funtion  function

 funtion  function

 characteres  characters

 paremeters  parameters

 unkown  unknown

 reprsents  represents

 functino  function


 implemenation


 ture  true


 partions  partitions

 implementatation  implementation


 bloc  block

 te  the


 determin  determine

 hav  have

 correlatd  correlated


 intial  initial
 intial  initial
 wth  with
 comitted  committed

 invokation  invocation

 doesnt  doesnt

code
 

、codespell flinkcore s xml s iml s txt

 
codebash
 preform  perform

 aways

 documention  documentation
 documention  documentation
 retured  returned

 skipp  skip

 occurences  occurrences
 code
 

 ",1

75,we have quite some tests being temporarily disabled in testevergreenyml during durable history development to reduce testing noise its time to reenable them as the durable history projects wrapping up ,1

76,phplib should extend driver exceptions while still providingimplementing its own exception interface this will allow users to catch library exceptions specifically before falling back to driver exceptions,0

77, repositories each with a couple of subscriptionsorting seems to have no effect and selecting properties from the context menu always leads to the properties of only one of the repositories,0

78,a number of the python static tests include configurations they dont need minor cleanups for a few different issues,1

79,"currently the bulkwritewithupdatehints and bulkwritearrayfilters tests expect that drivers batch all update operations together the go driver does not and this test can be adjusted to work for this by running separate tests for replaceone updateone and updatemany models

spec changes ",0

80,"as in  there are multiple versions entries for  and they are for separate versions

ive attached a screenie as an example can you please fix this up thanks ",0

81," disabled  csuite test temporarily as it generated lots of noise and theres no priority to address the column store issue at that time 

we should use this ticket to reenable the test and address the cache stuck dirty issue originally reported in  ",1

82,flink is using  version  from february  while version  jul  has been released we should upgrade to the latest dependency ,1

83,dropdownlistbase cant be used in mxml so it should be moved into the supportclasses directory,0

84,"the cachelookasidescore and cachehsscore statistics are no longer used by mongodb  they dont seem to serve any useful purpose in the wt code either cachelookasidescore in particular is simply set to zero and never changed see   

 discussed finding a new statistics to replace cachelookasidescore when we replaced the lookaside file with durable history but that ticket was never closed and according to  we have not used cachelookasidescore since 

unless these statistics are somehow needed for backwards compatibility we should remove them

 ",1

85,in a few cases we are seeing max document size errors when querying mongo the only way we have found to resolve this is to manually change the cursor batch size for the failing queries we are having to calculate this value ourselves based on our own knowledge of the expected maximum document size for particular collections we would expect that this would be handled automatically in the driver or server,0

86,there is an unused variable tmp in the recupdselect function we can remove that,1

87,annotation generic based java web interceptor for spring mvc,0

88,"i intend to publish personal open source projects

my github is ",0

89,the flume agent throws an outofmemoryerror during load   new io worker   unexpected exception from downstreamjavalangoutofmemoryerror java heap space        at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at         at  test a test worker consists of a nettyavrorpcclient shared by a thread pool of size  the rpc client instance will be recreated whenever isactive is false flume events with a timestamp header and a body of  random bytes are submitted continuously test workers are started in groups of   groups are started in total with  second delays between startsusually after the first group of  we see the oom error in the agentgot the  source and added debug logging in the newmap method to see the size of allocationand found that in most cases the size was  but when the oom errors start happening the size is always  oom error occurs more frequently when the connecttimeout and requesttimeout are both shorter than  secondsseems to be related ,0

90,"mongodb  adds native support for  type this type has recieved the bson type id 

the driver handling of this type is specified in the bson  type handling in drivers specification that can be found at ",0

91,"a collection holds one or more documents which corresponds to a record or a row in a relational database table and each document has one or more fields which corresponds to a column in a relational database table

should be

a collection holds one or more documents which each correspond to a record or a row in a relational database table and each document has one or more fields which each correspond to a column in a relational database table",0

92,the following code should not give an errorphp m  new mongo db  mselectdbexample c  dbselectcollectionexample csavearraytestfoo orderedoptions  example mapstr  functionfor var  testvar mapcode  new mongocodemapstr arraytestvar  arraya b c reducecode  new mongocodefunctionkey valuesreturn  options  array     mapreduce  example     map  mapcode     reduce  reducecode  mrres  dbcommandoptions printrmapcode printrmrres  output mongocode object        functionfor var  testvar       array                        array                                        a                       b                       c                            array        assertion map invoke failed js error referenceerror testvar is not defined          ,0

93,consider moving away from promise and start using completablefuture,1

94,"a change in  avoid c and c compiler incompatibilities has a bug the cc value isnt quoted and so the cc environment variable can break autoconfiguration

the symptom is an error message during configuration
noformat
configure line  test too many arguments
noformat",1

95,currently using servletredirectresult doesnt pass the jsessionid token to the next request so its losing the session,0

96,hello i am using mongo java driver  and i am trying to reconfigure a replica set configuration by using mongo java driverinitially i have four mongo servers started up with next configurationcode      id  rstest      version         members             id   host             id   host             id   host  	   id   host         codethen i have my test which tries to reconfig this replica set by sending next documentcode      id  rstest      version         members             id   host             id   host             id   host  	   id   host   arbiteronly true       codeand java codecodemongoclient mongoclient  new mongoclientlocalhost 		basicdbobject basicdbobject  new basicdbobjectbasicdbobjectputreplsetreconfigjsonparsedocument		db db  mongoclientgetdbadmincommandresult command  dbcommandbasicdbobject		systemoutprintlncommandcodeand then next exception is returnedcodeemptying dbportpool to  bc of errorjavaioeofexception	at 	at 	at 	at 	at 	at 	at 	at 	at 	at 	at 	at 	at 	at 	at  in thread main commongodbmongoexceptionnetwork cant call something  	at 	at 	at 	at 	at 	at 	at 	at 	at  by javaioeofexception	at 	at 	at 	at 	at 	at 	at 	  morecodeif i go to mongo shell and i type rsconf at first time an  is also shown but then tries to reconnect again and then it works as expected and shows that server with id  is hidden so it seems like command is send successful is there any way to avoid that mongo driver throws an exception maybe me as a user of mongo java driver should implement a recovery function basically catching the exception and not propagating italso i have tried by registering all servers in mongoclient but same exception is thrownthank you very much in advance for your help,0

97,fixedlength column store has been lacking support for timestamping and history this has now been implemented,1

98,"the notnullenforcer is always add in the  but in this pr it make a if branch to make a decision whether the notnullenforcer to add

so it make the streamgraph change in  so i think this is the reason i cant migrate the flink sql job from  to  

 

solution：make a table sinks column to be not null so that it can add a notnullenforcer operator in to the stream graph that will work in restore from savepoint between  to ",1

99,"testformat was written to use posix pthreads locking now that we support test programs using wiredtiger internal code we should convert testformat to use the faster more threadfriendly wiredtiger mutexes

ideally format would randomly choose what set of thread primitives to use",1

100,geocoreh,0

101,turn off format stress testing for columnstore,1

102,seems theres agreeement on the dev list should move the examples in the directory below to be unit tests  need to remove any deprecated usage in those examples during the conversion,0

103,wiredtiger does not currently support relaxed isolation levels turn off format testing,1

104,also please note that the mirror on github shows incorrect information about the reference repositorycutapachecommonsnumbersmirrored from gitgitapacheorgcommonscomplexgitcutthanks,0

105,"we should add test cases to verify that blockincremental backup behaves correctly when the last block of a file changes size between successive incremental backups  note that block in this description refers to the block sizes that incremental backup uses to track changes in wt files

i believe what should happen in these cases is
  if the block size changes but the block contents dont change the block is not marked as dirty
  if the block changes size and data in the block changes then the block should be marked as dirty
  if the block doesnt change size but its data changes then it should be marked as dirty

 should only be possible when the file is truncated  if the file grows then by definition we should have written new data to it and the final block will be dirty 

ideally we should check that this behaves correctly even if there are multiple growshrink operations between backups including cases that extend the file multiple blocks before returning it to the size at the previous backup  

we have existing tests — format and incrbackup — that perform random operations on files and create backups  so these test should eventually cover the cases described here but it would good to have targeted tests that verify correctness in these scenarios",1

106,"we recently discussed test assertion on the ml  and came to the conclusion to
a update the code style guide to explicitly mention the currently favored style of assertions for consistency
b use assertj for new tests",1

107,we recently discussed test assertion on the ml  and came to the conclusion to that we want to encourage contributions to use assertj as much as possible in order to do that we should add assertj in flinkparent pom as test dependency,1

108,"when creating a background index in our cluster with  shards  mi documents and in one collection sharded by a hased index the server continuously crashes

we created this index
code
 i index     found  interrupted index builds on shipyardinvestigationcards
 i index     note restart the server with noindexbuildretry to skip index rebuilds
 i index     build index on shipyardinvestigationcards properties  v  key  accountid  universeid  stilinguearraycallid  stilinguearraypageid  normalizedpostedat   name saccallid ns shipyardinvestigationcards background true 
 i index     	 building index using bulk method build may temporarily use up to  megabytes of ram
code

after some time building the mongodb crashed with this error
code
 e storage   wiredtiger error    wtcursornext read checksum error for  block at offset  block header checksum of  doesnt match expected checksum of 
 e storage   wiredtiger error    wtcursornext  encountered an illegal file format or internal value
 e storage   wiredtiger error    wtcursornext the process must exit and restart wtpanic wiredtiger library panic
 i          fatal assertion  at srcmongodbstoragewiredtigerwiredtigerutilcpp 
 i          
code

i wil attach two log files first one is the first crash right after the index build start and the second one is a subsequent crash
if you guys needs more data i will need a secure portal to upload my data because we have big files here unfortunately i cant upload any data files from this collection for security reasons

when i started the server with the option noindexbuildretry it stops the crashes i will make initial sync in those two servers because im not confident if this did not corrupted any data or index in my database",0

109,"there are a few stale comments in the evergreen file and we should fix them so they are addressed when necessary
   is mentioned at different places and the wt ticket that should be mentioned is 
  add  where  is mentioned
  the function fetch artifacts from manycoll is not used as it will be used as part of 
  either remove the function and add it to the ticket or comment the code and add  above
   is mentioned while being closed investigate if work is still required
  the corresponding jenkins job is wiredtigertestchecklong it executes  which is already executed as part of the task  the comment can be removed
   is mentioned as it disabled a test the ticket to reenable the test is 
  add  where  is mentioned
   is mentioned as it disabled a column test   was created to reenable the test but it was closed while the test was not reenabled and the issue was fixed
  the ticket  has been created to reenable the test
  add  where  is mentioned",1

110,"we are a team of developers trying to start a new blog oriented to java and software development

we would like to get a space into maven public repository because in future posts of our blog we would like to use our own artifacts including this artifacts as a maven dependency in the pomxml

the url of our blog is 

regards",0

111,"rest api to retrieve the list of recently accessed projects for a user
the order is important ie clear which is the most recently accessed the second most etc

possibly extend the current rest api for getting projects",0

112,we radboud university want to start releasing our open source projects to central they all start with groupid nlru based on our universitys website url ,0

113,wiredtiger nontimestamp application support was broken during durable history project development we should make it work again ,1

114,"we have a lot of duplicated code that is initializing copying and passing around a set of time pairs and aggregated time pairs

we should abstract those out into data structures and helper functions to clean up the code and minimize the chance of copypaste errors",1

115,"testutilbypassvalgrind and testutilslowmachine flags were previously used by our csuite testing code to bypass certain tests for the jenkins valgrind job and if the tests are scheduled onto a slow machine with all csuite tests being migrated to evergreen the need for these  flags are not there 

we should evaluate the multiple csuite test programs that currently check the  flags and remove them if possible",1

116,"things to address

 replace toolbar hack which renders the border in feature header implemented in  branch
 use statics to manage modal sizes implemented in  branch
 prefer initcomponent to class refs  implemented in master",1

117,"in  we extended the verbose api to support the assignment of verbosity levels per event category in one place we should use wtverbosedefault instead of wtverbosedebug
noformat        else if svaltype  wtconfigitembool  svallen  
            
              if no value is associated with the event ie passing verbose default
              the event to wtverbosedebug correspondingly all legacy uses of wtverbose
              being messages without an explicit verbosity level will default to
              wtverbosedebug
             
            connverbose  wtverbosedebug noformat
when the level is not specified we should assign the category to wtverbosedefault

definition of done

update the code and the comment just above accordingly",1

118,"weve turned off a number of test scenarios in the format test program in order to ignore errors introduced during the historystore project this ticket is intended to restore the test functionality weve turned off that includes

 implicit transaction testing transactions performed outside of an explicit applicationcreated transaction
 lowerlevel isolation testing
 nontimestamp transaction testing

this ticket will not include restoring columnstore or lsm testing in format",1
